employee_id,competency_id,status
E042,sterrad,qualified
E043,arbeidsbord,qualified
E043,produksjon_uren,qualified
E044,arbeidsbord,qualified
E044,produksjon_uren,qualified
E045,arbeidsbord,qualified
E045,produksjon_uren,qualified
E046,arbeidsbord,qualified
E046,produksjon_steril,qualified
E046,produksjon_uren,qualified
E047,arbeidsbord,qualified
E047,produksjon_steril,qualified
E047,produksjon_uren,qualified
E048,arbeidsbord,qualified
E048,produksjon_steril,qualified
E048,produksjon_uren,qualified
E049,arbeidsbord,qualified
E049,produksjon_steril,qualified
E049,produksjon_uren,qualified
E050,arbeidsbord,qualified
E050,produksjon_uren,qualified
E051,arbeidsbord,qualified
E051,produksjon_steril,qualified
E051,produksjon_uren,qualified
E052,arbeidsbord,qualified
E052,produksjon_steril,qualified
E052,produksjon_uren,qualified
E053,arbeidsbord,qualified
E053,produksjon_uren,qualified
E054,arbeidsbord,qualified
E054,produksjon_uren,qualified
E055,produksjon_uren,qualified
E056,arbeidsbord,qualified
E056,produksjon_uren,qualified
E057,arbeidsbord,qualified
E057,produksjon_uren,qualified
E058,arbeidsbord,qualified
E058,produksjon_uren,qualified
E059,arbeidsbord,qualified
E059,produksjon_steril,qualified
E059,produksjon_uren,qualified
E060,produksjon_steril,qualified
E061,produksjon_steril,qualified
E061,utpost_gastrolab,qualified
E061,utpost_kir_pol,qualified
E062,produksjon_steril,qualified
E063,produksjon_steril,qualified
E064,arbeidsbord,qualified
E064,produksjon_steril,qualified
E064,produksjon_uren,qualified
E065,produksjon_steril,qualified
E066,arbeidsbord,qualified
E067,arbeidsbord,qualified
E067,produksjon_uren,qualified
E068,arbeidsbord,qualified
E068,poliklinikker_lospakk,qualified
E068,sterrad,qualified
E069,arbeidsbord,qualified
E069,kontrollsone,qualified
E069,poliklinikker_lospakk,qualified
E069,produksjon_uren,qualified
E069,sterrad,qualified
